12:56:48.655 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 24256 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:56:48.668 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:56:52.346 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.984 seconds (JVM running for 4.813)
12:56:52.349 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
12:57:55.901 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 30656 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:57:55.916 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:57:59.635 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.021 seconds (JVM running for 4.902)
12:57:59.638 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
12:59:09.460 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 21148 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:59:09.473 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:59:13.164 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.977 seconds (JVM running for 4.826)
12:59:13.166 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
12:59:45.145 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 26804 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
12:59:45.164 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
12:59:49.058 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.321 seconds (JVM running for 5.165)
12:59:49.060 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:01:57.859 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 1192 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:01:57.872 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:02:01.692 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.119 seconds (JVM running for 5.042)
13:02:01.694 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:02:36.393 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 20060 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:02:36.401 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:06:47.401 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 21264 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:06:47.413 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:06:51.444 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.317 seconds (JVM running for 5.155)
13:06:51.446 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:10:08.397 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 12400 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:10:08.409 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:10:12.389 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.259 seconds (JVM running for 5.111)
13:10:12.391 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:12:05.768 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 21148 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:12:05.781 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:12:09.493 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.991 seconds (JVM running for 4.839)
13:12:09.494 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:14:06.247 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 27988 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:14:06.264 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:14:09.982 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.094 seconds (JVM running for 4.973)
13:14:09.984 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:15:55.424 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 10316 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
13:15:55.439 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
13:15:59.130 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.035 seconds (JVM running for 4.888)
13:15:59.132 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
13:18:00.006 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 26292 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
